,tag_1,tag_2,score
318,Manchester,80s,0.0916895587076
319,Mellow,80s,0.000926259506362
320,NWOBHM,80s,0.03530387552
321,Phil Collins,80s,0.0894975634265
322,Pop-Rock,80s,0.176273274116
323,Post punk,80s,0.129871959609
324,Power metal,80s,0.00440440764894
325,Progressive,80s,0.217501425027
326,Progressive rock,80s,4.51714251745
327,Psychedelic Rock,80s,0.0125282798374
328,Rock and Roll,80s,0.0284010423654
329,Scottish,80s,0.0727563490849
330,Soundtrack,80s,0.282548973047
331,Southern Rock,80s,0.0283761378463
332,Symphonic Rock,80s,0.0929268522111
333,Tina Turner,80s,0.0957955401121
334,Tom Petty,80s,0.0707141241888
335,UK,80s,0.262266243495
336,USA,80s,0.175468625201
337,abba,80s,0.0745813028554
338,acoustic,80s,0.00972330271892
339,adult contemporary,80s,0.185484376165
340,alternative,80s,8.18755852055
341,alternative rock,80s,0.608659097347
342,ambient,80s,0.00404424135986
343,american,80s,2.05552867099
344,americana,80s,0.0046819426352
345,arena rock,80s,0.135250620428
346,art rock,80s,0.821225752296
347,australian,80s,0.101170184016
348,blues,80s,0.253823313667
349,blues rock,80s,0.292444257629
350,blues-rock,80s,0.0246574919644
351,british,80s,12.4093050631
352,britpop,80s,0.0577822399424
353,chicago,80s,0.0083809332372
354,chillout,80s,0.00613707801985
355,classic,80s,0.146481799276
356,classic metal,80s,0.0518210375735
357,classic rock,80s,307.109199183
358,college rock,80s,0.102209822923
359,country,80s,0.00306163423578
360,dance,80s,2.14752779616
361,dark,80s,0.0149857746625
362,darkwave,80s,0.0403115174378
363,diva,80s,0.0972984603971
364,dream pop,80s,0.00120678058482
365,easy listening,80s,0.0491555872783
366,electro,80s,0.0104944714701
367,electronic,80s,2.05847685201
368,electronica,80s,0.0486337607026
369,electropop,80s,0.001457515165
370,england,80s,0.0206978638822
371,english,80s,0.0472311301711
372,ethereal,80s,0.00391008772252
373,experimental,80s,0.0591125385571
374,favorites,80s,0.0523678170498
375,female,80s,0.17080043985
376,female vocalist,80s,0.0895874246603
377,female vocalists,80s,11.8812869596
378,folk,80s,0.128299410848
379,folk rock,80s,0.033811299695
380,folk-rock,80s,0.013535125333
381,funk,80s,1.05954053846
382,funky,80s,0.0209499220754
383,genius,80s,0.0271105938116
384,german,80s,0.00908960537511
385,glam,80s,0.209475439883
386,glam rock,80s,6.45723223453
387,god,80s,0.183319335726
388,goth,80s,0.744507855754
389,groovy,80s,0.0111790474346
390,guitar,80s,0.54645514553
391,guitar virtuoso,80s,0.0331424137535
392,hair metal,80s,10.3532312545
393,hard rock,80s,43.4183184773
394,hardcore,80s,0.00331161449013
395,heavy metal,80s,3.44050999791
396,hip hop,80s,0.000387010770317
397,indie,80s,0.870769831682
398,indie pop,80s,0.00238652927355
399,indie rock,80s,0.105627891935
400,industrial,80s,0.00212603485905
401,instrumental,80s,0.00300911925735
402,irish,80s,0.00533315918264
403,janet jackson,80s,0.0798296167601
404,jazz,80s,0.142102780678
405,jecks,80s,0.0205816163211
406,legend,80s,0.154280186204
407,male vocalist,80s,0.00606285222264
408,male vocalists,80s,1.15716725292
409,melancholy,80s,0.00188463534844
410,melodic rock,80s,0.193625411187
411,metal,80s,0.272779762683
412,michael jackson,80s,0.106071186283
413,motown,80s,0.0127427009106
414,new romantic,80s,0.560094696663
415,new wave,80s,555.07874567
416,new york,80s,0.0248579199555
417,noise,80s,0.043648095564
418,noise pop,80s,0.0109310001132
419,noise rock,80s,0.0203858298318
420,norwegian,80s,0.177385424159
421,oldies,80s,0.544273752919
422,piano,80s,0.0292868247056
423,political,80s,0.0075886494963
424,pop,80s,194.629126602
425,pop rock,80s,1.13942224031
426,post-punk,80s,21.0959430428
427,proto-punk,80s,0.0136655861286
428,psychedelic,80s,0.064132984586
429,punk,80s,0.762403903136
430,punk rock,80s,0.084261960247
431,r&b,80s,0.0123307504608
