,tag_1,tag_2,count,number_of_pairs_x,number_of_pairs_y,totalPairs,pair_percent_of_total,pair_percent_of_x,pair_percent_of_y,perc_x_y_sum,score
105,via:8tracks,10s,17,175,5092,2435982,6.97870509716e-06,0.0971428571429,0.00333857030636,0.100481427449,0.226332148253
106,want to see live,10s,17,313,5092,2435982,6.97870509716e-06,0.0543130990415,0.00333857030636,0.0576516693479,0.126543533368
107,00s,2007,15,15036,60,2435982,6.15768096809e-06,0.000997605746209,0.25,0.250997605746,0.153573447927
108,dance,2007,15,31691,60,2435982,6.15768096809e-06,0.000473320501089,0.25,0.250473320501,0.072863916034
109,electronic,2007,15,85203,60,2435982,6.15768096809e-06,0.00017605013908,0.25,0.250176050139,0.027101514771
110,electropop,2007,15,12108,60,2435982,6.15768096809e-06,0.00123885034688,0.25,0.251238850347,0.190711130082
111,00s,2010s,21,15036,2632,2435982,8.62075335532e-06,0.00139664804469,0.00797872340426,0.00937537144895,0.00960650929587
112,10s,2010s,88,5092,2632,2435982,3.61250616794e-05,0.0172820109976,0.0334346504559,0.0507166614536,2.08737107768
113,2000s,2010s,29,343,2632,2435982,1.19048498716e-05,0.0845481049563,0.0110182370821,0.0955663420383,1.10902136765
114,Afie Jurvanen,2010s,18,234,2632,2435982,7.3892171617e-06,0.0769230769231,0.00683890577508,0.0837619826982,0.38872430708
115,Albanian,2010s,17,459,2632,2435982,6.97870509716e-06,0.037037037037,0.00645896656535,0.0434960036024,0.16694526997
116,All,2010s,41,6358,2632,2435982,1.68309946461e-05,0.00644856873231,0.0155775075988,0.0220260763311,0.169071765127
117,Canadian,2010s,42,9510,2632,2435982,1.72415067106e-05,0.00441640378549,0.0159574468085,0.020373850594,0.121508705592
118,Energetic,2010s,18,452,2632,2435982,7.3892171617e-06,0.0398230088496,0.00683890577508,0.0466619146246,0.201242229772
119,Female Voices,2010s,15,556,2632,2435982,6.15768096809e-06,0.0269784172662,0.0056990881459,0.0326775054121,0.0946758092035
120,Hip-Hop,2010s,22,29737,2632,2435982,9.03126541986e-06,0.000739819080607,0.00835866261398,0.00909848169459,0.00558484249818
121,Lo-Fi,2010s,20,13954,2632,2435982,8.21024129078e-06,0.0014332807797,0.00759878419453,0.00903206497423,0.00894193088056
122,Need to scrobble,2010s,16,647,2632,2435982,6.56819303263e-06,0.0247295208655,0.00607902735562,0.0308085482212,0.0987405876287
123,Progressive rock,2010s,33,10308,2632,2435982,1.35468981298e-05,0.00320139697322,0.012537993921,0.0157393908942,0.0543760241674
124,Queen Bumble Bee,2010s,16,432,2632,2435982,6.56819303263e-06,0.037037037037,0.00607902735562,0.0431160643927,0.147882315268
125,UK,2010s,22,9611,2632,2435982,9.03126541986e-06,0.00228904380397,0.00835866261398,0.010647706418,0.0172798315855
126,USA,2010s,41,12232,2632,2435982,1.68309946461e-05,0.00335186396337,0.0155775075988,0.0189293715622,0.0878808275571
127,United States,2010s,20,1892,2632,2435982,8.21024129078e-06,0.0105708245243,0.00759878419453,0.0181696087188,0.0659491033337
128,acoustic,2010s,26,23967,2632,2435982,1.0673313678e-05,0.00108482496766,0.00987841945289,0.0109632444206,0.0114379029752
129,albania,2010s,17,448,2632,2435982,6.97870509716e-06,0.0379464285714,0.00645896656535,0.0444053951368,0.171044372581
130,alternative,2010s,124,114909,2632,2435982,5.09034960028e-05,0.00107911477778,0.0471124620061,0.0481915767839,0.258792121292
